datetime,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-02-11 13:00:00,0.0,2137.5,28.2,66.0,3.3
2021-02-11 14:00:00,0.0,2653.4,28.1,66.0,4.6
2021-02-11 15:00:00,0.0,2814.3,28.0,67.0,5.6
2021-02-11 16:00:00,0.0,2407.2,28.0,68.0,4.5
2021-02-11 17:00:00,0.0,2015.7,27.9,68.0,4.1
2021-02-12 12:00:00,0.0,987.7,25.4,100.0,3.3
2021-02-12 13:00:00,0.0,1616.2,27.2,74.0,4.4
2021-02-12 14:00:00,0.0,2191.6,28.8,66.0,2.0
2021-02-12 15:00:00,0.0,1906.3,28.7,72.0,3.9
2021-02-12 17:00:00,0.0,2011.5,28.2,76.0,4.9
2021-02-12 18:00:00,0.0,1113.5,27.3,83.0,5.2
2021-02-13 15:00:00,0.4,1224.2,25.3,100.0,1.9
2021-02-13 16:00:00,0.0,1782.4,26.0,100.0,3.5
2021-02-14 17:00:00,0.0,2921.7,29.3,68.0,7.6
2021-02-14 20:00:00,0.0,1047.9,28.6,75.0,4.4
2021-02-15 12:00:00,0.0,1173.6,27.7,100.0,2.2
2021-02-15 13:00:00,0.0,2328.9,29.4,72.0,4.5
2021-02-16 13:00:00,0.0,2390.6,28.4,62.0,3.9
2021-02-16 20:00:00,0.0,667.2,26.1,77.0,6.8
2021-02-16 21:00:00,0.0,488.7,26.7,85.0,3.3
2021-02-17 15:00:00,0.0,1515.3,29.3,69.0,2.0
2021-02-17 19:00:00,0.4,711.6,27.4,91.0,3.8
2021-02-17 20:00:00,0.0,453.0,27.2,100.0,3.0
2021-02-18 12:00:00,0.0,1518.6,27.0,71.0,3.7
2021-02-19 12:00:00,0.0,1428.9,26.6,100.0,3.7
2021-02-19 13:00:00,0.0,2410.5,28.3,67.0,4.2
2021-02-19 17:00:00,0.0,2587.9,28.9,72.0,7.3
2021-02-19 19:00:00,0.0,1407.8,28.0,74.0,6.9
2021-02-20 12:00:00,0.0,1441.6,26.2,100.0,2.2
2021-02-22 12:00:00,0.0,1478.4,26.8,100.0,3.8
2021-02-22 13:00:00,0.0,2412.5,27.8,66.0,3.7
2021-02-22 14:00:00,0.0,3118.0,28.8,68.0,4.2
2021-02-22 15:00:00,0.0,3606.7,29.5,67.0,5.4
2021-02-22 18:00:00,0.0,2968.6,28.0,74.0,7.2
2021-02-22 19:00:00,0.0,2134.3,28.0,72.0,6.8
2021-02-23 12:00:00,0.0,1596.4,26.9,64.0,4.4
2021-02-23 13:00:00,0.0,2349.6,27.0,64.0,5.8
2021-02-23 14:00:00,0.0,3065.9,28.7,56.0,5.8
2021-02-24 13:00:00,0.0,1265.9,29.0,74.0,4.9
2021-02-24 19:00:00,0.0,626.1,25.6,100.0,3.2
2021-02-25 16:00:00,0.0,2706.7,25.3,79.0,5.4
2021-02-25 17:00:00,0.0,1885.7,26.3,71.0,4.2
2021-02-25 21:00:00,0.0,398.3,24.0,100.0,2.8
2021-02-26 12:00:00,0.0,1310.7,25.9,76.0,2.5
2021-02-26 13:00:00,0.0,958.1,26.4,76.0,2.3
2021-02-26 14:00:00,0.0,1209.4,26.9,74.0,3.0
2021-02-26 15:00:00,0.0,1465.4,26.1,88.0,7.0
2021-02-27 12:00:00,0.0,1009.0,25.3,99.0,4.5
2021-02-27 13:00:00,0.0,1203.1,27.2,76.0,2.9
2021-02-27 14:00:00,0.0,2127.5,27.9,77.0,3.3
2021-02-27 15:00:00,0.0,2086.3,27.5,76.0,4.3
2021-02-27 16:00:00,0.0,2284.6,26.9,81.0,5.5
2021-02-27 17:00:00,28.2,861.2,23.3,100.0,6.6
2021-02-27 19:00:00,0.2,490.1,23.6,100.0,4.6
2021-02-28 12:00:00,0.0,816.9,25.5,100.0,2.9
2021-02-28 13:00:00,0.0,1567.8,27.0,91.0,3.7
2021-02-28 14:00:00,0.0,2710.7,28.8,72.0,3.3
2021-02-28 15:00:00,0.0,3248.9,28.1,75.0,5.5
2021-02-28 16:00:00,0.0,3436.8,28.4,79.0,6.4
2021-02-28 17:00:00,0.0,3371.4,28.4,74.0,5.9
2021-02-28 18:00:00,0.0,3245.7,28.0,74.0,5.3
2021-02-28 19:00:00,0.0,1288.4,27.4,81.0,5.3
2021-03-01 12:00:00,0.0,1315.6,26.9,100.0,2.9
2021-03-01 13:00:00,0.0,2255.4,28.4,78.0,3.2
2021-03-01 16:00:00,0.0,3483.3,29.0,73.0,6.0
